year,statename,lcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
2001,Tamil Nadu,NANGUNERI,RAMACHANDRAN.V,M,MTD,37458,,90450,2,41.41%,0,DMK
2001,Tamil Nadu,NANGUNERI,TAMILMANI NOBLE.TMT.,F,MDMK,2942,,90450,3,3.25%,0,OTHERS
2001,Tamil Nadu,NANGUNERI,ESSAKKIPANDI.P.,M,IND,1711,,90450,4,1.89%,0,OTHERS
2001,Tamil Nadu,NANGUNERI,RATNARAJ.,M,IND,965,,90450,5,1.07%,0,OTHERS
2001,Tamil Nadu,NANGUNERI,BOTHIRAJ.R,M,IND,755,,90450,6,0.83%,0,OTHERS
2001,Tamil Nadu,NANNILAM,TAMIZHARASAN C.K.,M,TMC(M),52450,,113751,1,46.11%,1,ADMK
2001,Tamil Nadu,NANNILAM,SAKTHIVEL P,M,DMK,33238,,113751,2,29.22%,0,DMK
2001,Tamil Nadu,NANNILAM,MANIMARAN M,M,IND,24623,,113751,3,21.65%,0,OTHERS
2001,Tamil Nadu,NANNILAM,RAVANAN G,M,MDMK,3440,,113751,4,3.02%,0,OTHERS
2001,Tamil Nadu,NATHAM,VISWANATHAN.R.,M,ADMK,55604,,112540,1,49.41%,1,ADMK
2001,Tamil Nadu,NATHAM,KRISHNAN. KU.PA.,M,TB,45002,,112540,2,39.99%,0,DMK
2001,Tamil Nadu,NATHAM,CHELLAM.P.,M,MDMK,5311,,112540,3,4.72%,0,OTHERS
2001,Tamil Nadu,NATHAM,GEORGE.P.,M,IND,1596,,112540,4,1.42%,0,OTHERS
